CustomerID,SignupDate,LastLoginDate,UserLimit,ActiveUsers,SubscriptionType,Industry,AccountAgeDays,LastLoginDaysAgo,TotalLogins,TotalRecords,OpportunitiesCreated,InvoicesIssued,OppsLastMonth,InvoicesLastMonth,SupportTickets,AvgTicketResolutionHrs,ModulesUsed,SatisfactionScore,Churned
1,2022-01-01 00:00:00,2024-01-01 00:00:00,56,70,Basic,Retail,222,83,278,9942,153,13,20,17,0,17.75403824377166,1,5.7990728073436495,1
2,2022-01-01 01:00:00,2024-01-01 02:00:00,97,88,Enterprise,Finance,544,56,293,7425,137,177,0,17,2,14.994021087744805,6,8.550543762847111,1
3,2022-01-01 02:00:00,2024-01-01 04:00:00,19,84,Pro,Education,819,77,31,4495,222,122,22,16,4,14.7396015859161,7,8.466176445777016,1
4,2022-01-01 03:00:00,2024-01-01 06:00:00,76,84,Basic,Healthcare,997,73,112,4095,211,24,12,6,0,8.827870765281531,3,8.571816921322196,1
5,2022-01-01 04:00:00,2024-01-01 08:00:00,65,76,Basic,Retail,113,104,230,8598,189,182,42,12,2,11.48899708235205,8,6.4216956499982505,1
6,2022-01-01 05:00:00,2024-01-01 10:00:00,25,33,Basic,Tech,827,22,23,8412,232,178,27,12,1,6.423209783288218,8,2.6543084112164625,1
7,2022-01-01 06:00:00,2024-01-01 12:00:00,87,28,Pro,Finance,109,29,227,7869,136,105,28,5,4,15.607944192445522,8,5.571803061773019,0
8,2022-01-01 07:00:00,2024-01-01 14:00:00,91,8,Basic,Healthcare,551,110,285,9569,16,105,17,18,0,17.111779304312062,5,5.645907009297725,1
9,2022-01-01 08:00:00,2024-01-01 16:00:00,79,1,Basic,Tech,263,57,108,1527,114,102,22,18,4,19.591456367780893,7,3.922909757975721,0
10,2022-01-01 09:00:00,2024-01-01 18:00:00,79,37,Pro,Tech,273,94,293,5713,264,9,27,15,3,7.760750553601828,5,4.816893483255646,1
11,2022-01-01 10:00:00,2024-01-01 20:00:00,92,63,Pro,Education,878,51,41,3202,279,13,8,2,2,18.36332319390398,8,8.84959001528636,0
12,2022-01-01 11:00:00,2024-01-01 22:00:00,28,22,Basic,Healthcare,422,55,248,9477,73,132,42,13,0,14.637042079416513,9,5.661350521397095,0
13,2022-01-01 12:00:00,2024-01-02 00:00:00,7,70,Pro,Retail,38,9,47,1555,224,184,5,5,2,20.17553286587149,4,7.342694386051726,1
14,2022-01-01 13:00:00,2024-01-02 02:00:00,26,21,Pro,Healthcare,642,18,130,9471,34,21,15,16,2,5.984207140930481,4,5.4623033054915515,0
15,2022-01-01 14:00:00,2024-01-02 04:00:00,57,96,Pro,Healthcare,836,18,13,1446,245,74,36,15,2,22.84806060702193,7,6.557241675527918,0
16,2022-01-01 15:00:00,2024-01-02 06:00:00,6,35,Enterprise,Tech,744,107,18,8920,238,28,0,1,2,13.925169624815362,7,1.8332829791003997,1
17,2022-01-01 16:00:00,2024-01-02 08:00:00,92,79,Basic,Education,139,86,135,1314,18,134,21,8,2,15.966580493063432,8,9.382493861602455,1
18,2022-01-01 17:00:00,2024-01-02 10:00:00,34,5,Enterprise,Education,863,58,188,2061,44,145,45,12,0,10.823585115819874,7,4.923397597504395,0
19,2022-01-01 18:00:00,2024-01-02 12:00:00,42,60,Pro,Healthcare,295,43,286,3095,143,158,22,13,4,10.0518837580093,7,7.734724023585298,0
20,2022-01-01 19:00:00,2024-01-02 14:00:00,6,46,Pro,Healthcare,1005,104,57,4712,15,170,20,19,0,17.49425749570512,6,7.00391013723054,1
21,2022-01-01 20:00:00,2024-01-02 16:00:00,68,50,Pro,Finance,984,58,45,9839,93,34,30,11,1,13.299547621689246,6,8.193449652580316,0
22,2022-01-01 21:00:00,2024-01-02 18:00:00,64,48,Pro,Tech,936,95,25,5790,279,70,37,19,0,23.08129287445663,3,1.3138561598544263,1
23,2022-01-01 22:00:00,2024-01-02 20:00:00,25,6,Basic,Retail,701,83,299,2958,215,93,27,10,4,13.524899241557646,4,9.4181667868623,1
24,2022-01-01 23:00:00,2024-01-02 22:00:00,37,89,Pro,Retail,205,3,212,861,249,3,43,18,3,19.1546506084093,4,8.467721602336683,1
25,2022-01-02 00:00:00,2024-01-03 00:00:00,80,56,Pro,Education,554,96,155,5558,71,50,26,9,5,13.882646039169522,9,8.503854048118587,1
26,2022-01-02 01:00:00,2024-01-03 02:00:00,62,59,Pro,Tech,981,111,73,8147,109,93,38,17,0,1.0,6,5.2040209800636275,1
27,2022-01-02 02:00:00,2024-01-03 04:00:00,26,29,Basic,Education,1088,64,31,5002,288,29,41,2,1,12.86650032266953,3,8.166915171018177,0
28,2022-01-02 03:00:00,2024-01-03 06:00:00,93,71,Enterprise,Retail,534,12,120,8205,160,93,41,15,4,18.705251425280903,4,6.17663831776987,0
29,2022-01-02 04:00:00,2024-01-03 08:00:00,53,77,Pro,Healthcare,878,66,146,1596,289,180,12,17,3,15.72292940775134,6,5.53130232367472,1
30,2022-01-02 05:00:00,2024-01-03 10:00:00,95,18,Basic,Tech,992,11,45,9535,171,109,31,13,0,12.4512715539096,6,8.064297768543462,1
31,2022-01-02 06:00:00,2024-01-03 12:00:00,63,2,Pro,Tech,501,92,110,4682,13,73,6,16,2,16.09506540666211,5,6.6502002963858,1
32,2022-01-02 07:00:00,2024-01-03 14:00:00,46,8,Pro,Finance,552,54,78,2143,220,141,32,4,2,21.339856634022418,1,1.6944437528616745,1
33,2022-01-02 08:00:00,2024-01-03 16:00:00,96,75,Pro,Healthcare,909,60,64,3476,185,163,46,16,3,20.298519960871577,6,3.8305865936637384,1
34,2022-01-02 09:00:00,2024-01-03 18:00:00,64,97,Pro,Healthcare,303,94,126,8808,209,86,45,13,2,7.709397080063594,4,6.598834342824066,0
35,2022-01-02 10:00:00,2024-01-03 20:00:00,84,54,Enterprise,Education,83,40,207,934,288,139,12,2,2,15.123994513185927,8,9.134208239014056,0
36,2022-01-02 11:00:00,2024-01-03 22:00:00,19,38,Basic,Tech,917,35,15,723,106,75,31,14,1,15.822261649481913,1,9.397007523827167,0
37,2022-01-02 12:00:00,2024-01-04 00:00:00,66,48,Pro,Education,774,1,151,1147,212,161,6,11,1,9.5052529680294,5,8.55020460114137,0
38,2022-01-02 13:00:00,2024-01-04 02:00:00,66,27,Enterprise,Healthcare,306,21,220,1664,232,25,11,16,1,11.0397792002736,4,3.288812856053874,1
39,2022-01-02 14:00:00,2024-01-04 04:00:00,51,20,Enterprise,Finance,912,21,18,4082,213,133,39,16,2,10.174669731311173,5,5.260436873624737,0
40,2022-01-02 15:00:00,2024-01-04 06:00:00,66,12,Pro,Tech,661,40,71,5540,196,100,14,18,0,10.520784519404089,9,4.900513552048921,0
41,2022-01-02 16:00:00,2024-01-04 08:00:00,55,43,Enterprise,Healthcare,599,94,184,596,249,114,48,6,1,7.326323822768898,7,4.948167699230822,1
42,2022-01-02 17:00:00,2024-01-04 10:00:00,59,61,Basic,Finance,205,115,246,642,264,180,20,4,5,14.032209352090309,3,1.4480612455697162,1
43,2022-01-02 18:00:00,2024-01-04 12:00:00,68,31,Enterprise,Retail,595,119,164,1015,217,142,11,1,0,18.471453306708636,3,2.562742318055026,1
44,2022-01-02 19:00:00,2024-01-04 14:00:00,7,91,Basic,Healthcare,800,108,14,1901,263,105,12,15,2,11.85187706188453,7,2.379342116285117,0
